,Scar1,Scar2,cellCount1,cellCount2
656,0,176:22S37M3D16M,0,20
657,0,2150:75M,0,1
658,0,2470:45M30S,0,1
659,0,234:75M,0,1
660,0,2772:54M21S,0,1
661,0,1862:47M3D28M,0,1
662,0,2473:43M21D32M,0,1
663,0,1975:47M6D28M,0,1
664,0,1749:47M3D28M,0,1
665,0,3206:44M9D31M,0,1
666,0,1925:38M11D37M,0,1
667,0,65:45M5D30M,0,5
668,0,1820:47M3D28M,0,1
669,0,2012:38M11D37M,0,1
670,0,1404:46M13I16M,0,2
671,0,46:46M2D29M,0,23
672,0,2907:49M26S,0,1
673,0,779:34S41M,0,78
674,0,2725:51M1I23M,0,1
675,0,526:42M6D33M,0,1
676,0,1607:23S52M,0,13
677,0,2103:43M21D32M,0,1
678,0,178:47M1I27M,0,2
679,0,557:45M5D30M,0,57
680,0,1682:75M,0,1
681,0,1688:43M4D32M,0,1
682,0,61:46M29S,0,4
683,0,2279:30M1I14M9D30M,0,1
684,0,1653:75M,0,1
685,0,624:43M1I4M3D27M,0,59
686,0,3481:30M1D12M1I4M3D28M,0,1
687,0,2250:50M8D25M,0,1
688,0,2643:75M,0,1
689,0,2047:47M3D11M1D17M,0,1
690,0,1912:44M9D31M,0,1
691,0,2394:38M11D23M14S,0,1
692,0,3400:53M22S,0,1
693,0,2472:43M21D32M,0,1
694,0,3580:44M31S,0,1
695,0,3032:49M26S,0,1
696,0,373:42M1I5M3D27M,0,1
697,0,199:30M1D16M3D29M,0,1
698,0,1985:75M,0,1
699,0,2132:44M3D31M,0,1
700,0,19:75M,0,3
701,0,1804:75M,0,1
702,0,3291:44M31S,0,1
703,0,1686:38M11D37M,0,1
704,0,2178:75M,0,1
705,0,2000:46M3D29M,0,1
706,0,1718:46M3D29M,0,1
707,0,1369:46M29S,0,2
708,0,1299:49M26S,0,2
709,0,2166:45M4D30M,0,1
710,0,2027:75M,0,1
711,0,901:46M29S,0,1
712,0,97:49M9D26M,0,14
713,0,3512:30M20D45M,0,1
714,0,484:47M6D10M1I17M,0,2
715,0,2830:53M22S,0,1
716,0,47:47M2D28M,0,4
717,0,709:50M4I21M,0,3
718,0,78:46M11D29M,0,1
719,0,86:46M4D29M,0,2
720,0,958:48M27S,0,1
721,0,3398:75M,0,1
722,0,3385:75M,0,1
723,0,89:75M,0,8
724,0,3028:49M26S,0,1
725,0,60:30M1D45M,0,3
726,0,1917:46M3D29M,0,1
727,0,3462:30M1D20M1I24M,0,1
728,0,93:48M1D27M,0,2
729,0,69:48M2I25M,0,5
730,0,2789:47M3D16M1I11M,0,1
731,0,3292:44M31S,0,1
732,0,3507:30M20D45M,0,1
733,0,18:47M9D28M,0,1
734,0,2123:43M21D32M,0,1
735,0,1885:47M6D28M,0,1
736,0,3574:75M,0,1
