,Scar1,Scar2,cellCount1,cellCount2
264,3481:30M1D12M1I4M3D28M,624:43M1I4M3D27M,1,60
265,3427:46M8D29M,46:46M2D29M,1,24
266,3400:53M22S,65:45M5D30M,1,6
267,3400:53M22S,34:51M3I21M,1,13
268,337:46M8D29M,60:30M1D45M,22,4
269,337:46M8D29M,3427:46M8D29M,22,1
270,3353:42M6D9M12D24M,80:49M11D26M,1,28
271,2279:30M1I14M9D30M,779:34S41M,1,78
272,1526:41M34S,1735:75M,9,1
273,1879:47M3D28M,46:46M2D29M,1,24
274,1879:47M3D28M,337:46M8D29M,1,22
275,1862:47M3D28M,779:34S41M,1,78
276,1845:47M3D28M,779:34S41M,1,78
277,1845:47M3D28M,6:47M3I25M,1,41
278,1910:47M6D28M,23:30M20D45M,1,50
279,1820:47M3D28M,863:44M31S,1,9
280,1820:47M3D28M,757:30S45M,1,12
281,1820:47M3D28M,262:45M2I28M,1,17
282,1820:47M3D28M,2012:38M11D37M,1,1
283,1901:47M3D28M,23:30M20D45M,1,50
284,1910:47M6D28M,432:39M2D5M1I30M,1,12
285,1967:46M3D29M,624:43M1I4M3D27M,1,60
286,1967:46M3D29M,2726:51M1I23M,1,1
287,1956:48M8D27M,47:47M2D28M,1,7
288,1956:48M8D27M,236:39M8D36M,1,1
289,194:48M3I24M,86:46M4D29M,15,2
290,194:48M3I24M,2473:43M21D32M,15,1
291,194:48M3I24M,2232:30S45M,15,1
292,194:48M3I24M,2012:38M11D37M,15,1
293,1820:47M3D28M,194:48M3I24M,1,15
294,1682:75M,262:45M2I28M,1,17
295,1690:75M,2851:50M25S,1,1
296,1690:75M,1800:75M,1,1
297,1688:43M4D32M,19:75M,1,3
298,1686:38M11D37M,2178:75M,1,1
299,1664:48M8D27M,24:31M18D44M,1,4
300,1653:75M,337:46M8D29M,1,22
301,1586:31S44M,67:48M1I26M,8,12
302,1586:31S44M,24:31M18D44M,8,4
303,1586:31S44M,1664:48M8D27M,8,1
304,1718:46M3D29M,624:43M1I4M3D27M,1,60
305,1800:75M,2851:50M25S,1,1
306,1773:46M11I18M,337:46M8D29M,1,22
307,176:22S37M3D16M,958:48M27S,22,2
308,1751:51M1I23M,370:46M6I23M,1,51
309,1751:51M1I23M,3208:44M9D31M,1,1
310,1749:47M3D28M,62:75M,1,14
311,1738:51M1D24M,36:45M7D30M,1,2
312,1738:51M1D24M,178:47M1I27M,1,13
313,1973:45M14D30M,2195:27M1I18M14D29M,1,1
314,1975:47M6D28M,432:39M2D5M1I30M,1,12
315,2150:75M,62:75M,1,14
316,219:48M27S,3028:49M26S,28,1
317,219:48M27S,2907:49M26S,28,1
318,2166:45M4D30M,557:45M5D30M,1,80
319,2150:75M,737:50M8D25M,1,55
320,2150:75M,337:46M8D29M,1,22
321,2150:75M,2470:45M30S,1,1
322,2103:43M21D32M,737:50M8D25M,1,55
323,2103:43M21D32M,62:75M,1,14
324,21:47M3D28M,2774:54M21S,1,1
325,2216:47M3D28M,46:46M2D29M,1,24
326,2232:30S45M,262:45M2I28M,1,17
327,2279:30M1I14M9D30M,26:49M26S,1,39
328,2256:34S41M,779:34S41M,1,78
329,2255:37S38M,779:34S41M,1,78
330,2255:37S38M,6:47M3I25M,1,41
331,2250:50M8D25M,737:50M8D25M,1,55
332,2250:50M8D25M,62:75M,1,14
333,2250:50M8D25M,2643:75M,1,1
334,2232:30S45M,757:30S45M,1,12
335,1981:38M11D37M,664:40M1I1M9D33M,1,57
336,2026:46M3D29M,624:43M1I4M3D27M,1,60
337,2026:46M3D29M,2535:54M21S,1,1
338,2026:46M3D29M,2529:46M6D29M,1,1
339,2012:38M11D37M,863:44M31S,1,9
340,2012:38M11D37M,757:30S45M,1,12
341,2012:38M11D37M,262:45M2I28M,1,17
342,2000:46M3D29M,624:43M1I4M3D27M,1,60
343,199:30M1D16M3D29M,337:46M8D29M,1,22
344,1997:47M6D28M,2253:45M1I12M17S,1,1
345,1985:75M,664:40M1I1M9D33M,1,57
346,2027:75M,3574:75M,1,1
347,2047:47M3D11M1D17M,262:45M2I28M,1,17
348,0,1033:51M1I23M,10000,106
349,0,1337:45M1I12M17S,10000,89
350,0,1202:49M26S,10000,82
351,0,361:50M7I18M,10000,103
352,0,13:46M6D29M,10000,187
353,0,28:44M9D31M,10000,143
354,0,6:47M3I25M,10000,41
355,0,35:43M21D32M,10000,228
356,0,1466:44M31S,10000,53
357,0,1041:51M24S,10000,42
358,0,32:75M,10000,199
359,0,11:43M7D32M,10000,61
360,0,12:42M6D33M,10000,118
361,0,26:49M26S,10000,39
362,0,370:46M6I23M,10000,51
363,0,1092:53M22S,10000,22
364,0,219:48M27S,10000,28
365,0,1432:48M5I22M,10000,18
366,0,20:45M14D30M,10000,458
367,0,14:44M3D31M,10000,19
368,0,262:45M2I28M,10000,17
369,0,1039:51M24S,10000,52
370,0,194:48M3I24M,10000,15
371,0,1284:48M6I21M,10000,19
372,0,44:44M3D31M,10000,102
373,0,62:75M,10000,14
374,0,1220:49M26S,10000,14
375,0,104:27M22D48M,10000,26
376,0,337:46M8D29M,10000,22
377,0,23:30M20D45M,10000,50
378,0,757:30S45M,10000,12
379,0,1257:49M26S,10000,6
380,0,139:43M4D32M,10000,7
381,0,1209:49M26S,10000,9
382,0,1380:46M29S,10000,6
383,0,1065:52M7I16M,10000,6
384,0,103:29S46M,10000,5
385,0,1607:23S52M,10000,13
386,0,176:22S37M3D16M,10000,22
387,0,1299:49M26S,10000,24
388,0,34:51M3I21M,10000,13
389,0,102:31M22D44M,10000,18
390,0,1115:50M25S,10000,5
391,0,1404:46M13I16M,10000,3
392,0,1586:31S44M,10000,8
393,0,178:47M1I27M,10000,13
